	备注	弹幕填充ing
748	年后回来就降薪，后面在10月让我们签字同意降薪，结果签完字就只发基本工资了（朴生瑞合）	
749	市政，国企中的私企，发多少全看领导心情	憋屈的硕士哦，干啥不好，当画图狗
750		
751	裁员好几拨了，没有大腿甲方，估计快凉	你这好惨，10年了这月供能交的上不哦
752	部门合并，前景不明	如果转行？可以干啥——室内怎么样
753	明年更惨~	打折打折再打折，直接整骨折，囊个活下去哟
754	部门领导也是画图上来的，不PUA,不画饼。收入与绩效是每月浮动的。22年比较轻松，炒冷饭。月发闷开，年底也是在看春晚的时候闷开	
755	年内就降薪两次。要求员工签字同意降薪。	
756	年前裁了一波+“组织架构调整”，年后大概率还要裁	专利代理？
757	开始拆人了，估计要凉了	你们这明显还可以，才开始裁人
758	我们小摊摊之前主要做文旅医院学校这些现在也是越来越卷了  事情越来越多工资也不涨 恼火	
759		吹的神     吹得神+1
760	估计又要裁人了，想转行	水石的兄弟伙？
761	小团队，今年还没做满产值，快凉了	
762	做地产项目，天天加班，周末也时常要加班，想跑	你这年薪不对吧，做地产大家都知道忙的要死，所以工资相应的也比较高
763	渝中区某国企大院，别误伤其他院	硕士月薪二千五？  
764	哎 别提了 一个人画图 找我谈话我以为是负产值，没想到还有些，现在真的日子难过，年底TMD要是不给我发，劳资提桶了，问候老板祖宗十八代。草特么的！	
765	忙成狗的上半年，准点的下半年，一句没提产值。	12年这么惨 我靠 重庆太卷了 
766	三个月都没发工资了，老板发微信都不回消息的，每次问工资就说正在要，也没啥项目了，天天在家耍起，罪孽	
767	离职拿了一个月工资0.5w	
768		
769	休周日感觉很累啊，工作强度还行，社保最低档，其它都挺好	
770	加班一般	
771	工作强度不大，呦呦慢慢做	
772	工作强度极大，老板声称12点前不算加班，不论加班到几点，第二天早上必须按时上班（真的狗），降薪一年半了，直接降薪80%，工作强度极大，一年六七十个项目（基本上都是外面接的鸭子），到头来就是一句没钱，公司之外的项目从来不给你算产值，全部揣进自己包里（要吐槽起来能写个上万字的小作文了）	
773	工作强度不大，没啥项目，降薪＋拖欠工资	
774	工作强度不大，周末很少加班，老板好说话稍稍比较有良心	
775	圈子太小不说细节了。行情太差了	
776		
777	工作强度大，周末加班一天，节假日最多休一半	大哥啥单位呀，年薪快40了。我一周不休息都行呀。
778	公司说没收到款的都不算产值，qtmgb。不如保安	
779	市政，偶尔加班，比去年降薪2.5W，但是加上私活收入1.5W和基金收入1W和去年差不多。	
780	停薪留职，现在居家办公，自己找饭吃	
781	加班还好，就是上司看不惯我闲着，非要给我找事情，让我帮忙	
782	强制单休半年以上，实际工作强度不大，但比较卷（卷加班），氛围和领导不太行，没有上升和成长空间，每天都是PPT	
783	市政，加班看项目需求	你是市政院的吧，几所？
784	上班不打卡，工作强度一年大概有1-2次需要一周加到3点那种，双休，可以根据忙碌程度接活儿，整体干得还是挺开心的，不接私活	哪个公司啊？
785	上班不打卡，没项目的时候双休，可以根据忙碌程度接活儿，可接私活	
786	"医药行业，搞得是药品厂房，化学实验室，细菌实验室的建筑设计工作，唯一的优点是吃的特别好，住的也挺好，按时甚至提前几天发工资。
"	是设计单位吗 还是医药企业的设计部门
787	没希望了，要开始踢人，降资	没奖金没法活了
788	没活，上面克扣的太多，小专业被层层剥削	
789		
790	加班多，卷死了，压奖金难跑路	私企加班多，肯定是拓朴了
791	活多就就加班多，领导喜欢爱加班的	私企加班多，肯定是拓朴了
792	大院	省院吗
793		那睡后多少！
794	太难了，一帮子所长，拉不了活，要不到钱；三年不发奖金，打野的都比所长资源多，所长们当个什么劲，一群酒囊饭袋的领导们	盲猜省建院
795	一群装腔作势的人，每天用央企的资质去骗别人来公司；然后办公室一手遮天，想请假就开除，一点脸都不要了，还逼迫同事们签不平等条约，不签就开除。办公室干行政的一手遮天，一请假就开除，一点脸都不要了；辞退员工也没有赔偿，扬言道，我要给你玩阴的，你工资一分钱都拿不到信不信。	盲猜某中某建设计院
796	活很少，上班基本都是摸鱼，感觉前途迷茫	哪里高就，还要人吗
797	活倒是还行，但没什么大活，加班不少，上边领导还凑合，就是工资太低，活不下去	
798	没希望了	
799	累死累活，加班给老板提宝马	老板说没回款，结果就换了个宝马，杂草的
800	活不多，而且贼简单，早八点半晚五点半（冬天四点四十）	
801	期待转行	
802	河北	河北
803	垃圾行业，毁我青春	
804	公司取消了项目补贴，没有年终奖，没有新项目。等待倒闭	同在唐山我到手5w
805	开摆！	 
806	设计院如果转型自媒体，那绝对又是第一，之前的第一也不知道咋来的	
807	注册结构，画建筑+结构图，方案也做，就是不干所里活，卷死	
808	没活呀，不知道明年还能不能坚持住	硕士，岩土，央企，大概率北勘的吧
809	老板搞房地产欠了1.2个亿，拿设计的钱和工程的钱堵窟窿，工资欠了1年多了，要钱要钱要钱啊	
810		
811	景观没什么活，设计院很多闲人	别丢央企的人了，也别丢研究生的人
812	虽然税前是这些，但上一家单位还欠着五六万工资没发	惊现老乡！19年毕业2500工资，果断北漂。但今年也很惨
813		
814	严重内卷，下班一个个都不走，正常下班就跟逃班一样。旁边的同事基本全年无休，天天都加班，卷死你。	
815	民企地产管培生，加班严重，卷的要死。名义上没砍工资实际上福利减了一半有余。还好每月能正常发工资。12月已经跑路，与其为了不知道有没有年终的空头支票继续加班掉发不如赶紧找个舒服的班上。	"哪家地产啊 转行做什么啊请问

A：前老总是女的那家。不算转行，从工程来国企施工单位做技术中心机关工作了。"
816	·	建研院？
817	小事务所，主要做小型建筑和改造项目，也经常会做室内项目。加班有1:1调休，10天年假。	终于看到一个觉得充满希望的了
818		我已经是帖子上的老人家了，哈哈，也是努力考证。主要做文物保护类，效益已经算比较好的组。    毕业那会是行业最好的年华，现在真是夕阳西下。 大院有证根本没加钱。有证就是可以图上签字，没证只能做制图。
819	凑活	
820	4w可能说多了，2200到4000（只有一个月）不等，我把工资条贴出来你们自己看，12月2400年终2900	真的假的？？？
821		得先看老家行情
822	麻木了，不知道是接着混日子还是回老家	
823	长期在外，一个月回家1-2次。不想干了	
824	一注 高工 国企 无望	"只挂证不上班么？
还不跑吗"
825	明星事务所，加班恐怖。	半年11W还可以了
826	刚入职，今年行情不好，把年终砍了	这是半年12还是一年12啊
827	四五人小公司	年后该跑一样跑
828		
829	工资说按职称分级，月发很低，22年到头了说改变发放制度了，变相降薪。而且领导太多，管理不行，只管让你干活。证书白嫖，福利也不多，团建也没有，年底领导都躲了，连大饼够不画了。	
830	国企 不忙	老哥 哪个国企
831		
832	国企设计院，忙起来会通宵，23年准备跑路。	车公庄大街19号？
833	国企   降薪	车公庄大街19号？
834		
835	麻了，给点转行的建议吧带lao们	
836	私企大院，没项目，不加班，蹉跎岁月	真的假的，帝都半年这么低么？
837	卷的要死，挨骂家常便饭，心力交瘁，因反抗被优化n+1	比我想象中的要高
838		敢问公司芳名
839		有社招吗，朋友
840		
841	打杂，给央企拖后腿	
842	是国企但是景观是小部门，想回家，但是看了看老家郑州这个惨样，正在观望	回郑州？想不开了
843	上市私企，被优化	现在在干嘛？创业吗？这得标红凸显一下
844	国企，快十年没涨过工资了。职称不评，证也不考，岗位不换，全年不怎么发图的躺平摸鱼党。	总图专业的不多 哥们是哪个院的 不会是同一单位吧 
845	国企跳私企，发现都一个qiu样，想跑路	总图是干什么的？
846	国企设计院，基本正常上下班，周六日可能加班无加班费	不想写年薪 干啥来了？
847	在舒适区划水，看不到上升路径，准备要崽，不敢动	
848	小公司、人少、一个人干两个人的活，发一个人的钱	
849	小单位挂靠央企、今年效益差、没有年终	"路人评价：吹牛逼打一下草稿，双边合计7500，单边3750，不算你补充公积金，就按12%交，税前要达到31000的工资，一年是将近40w，看看她写的多少
————（路人回复楼上）公积金是按照上一年收入扣的，应该是上一年收入高，但今年可能没有年终奖。"
850		工龄18年还是18年毕业啊？
851	小公司、人少、不稳定	
852		
853	国企，正常上下班	你是北京人吗？
854		是注册吗，是啊
855	晚餐30块报销额度，出差一天60补助，什么吊单位，信誓旦旦说投标能中的都无了。相比19-20年收入直接砍一半以上。	但是这个收入可以呀！！！
856	小公司，老板、办公环境好，不加班，同龄人少，基于线上沟通	
857		
858	国企设计院，忙起来通宵，闲下来可以在家苟着不上班。吃饭有食堂，加班打车可报销，过节费，过节物资照常发，就这么混着吧	
859	正常上下班，上班管早中饭，加班管晚饭，过节有福利。	大佬，还缺人吗，我想试试
860	办公行业装修市场，今年项目太少，差点解体	
861	国企设计院，会通宵（并不偶尔），无加班费无调休。单位食堂刷工卡，每月给充饭钱但只保证午饭，早晚包不住。工作日晚和周末打车报销（严格且流程繁琐）。有过节福利。疫情居家月薪没受影响没波动。	
862	不知道怎么回事上面一行被锁了，没办法修改	车公庄19号吧
863		车公庄19号吧
864	最近一个月没项目了有点闲，希望有年终奖吧	
865	刚毕业的孩子别直接做BIM，耽误人，还是要以专业为主	兄弟哪家单位/昨天刚宣布了补贴取消……哈哈哈
866	相信么 堂堂国企 居然是员工自己去负担企业那部分五险一金 呵呵 每天晚上加班十点起步 周末默认加一天 无奖竞猜 哪家国企	北京那么多大院 猜不出来啊  不会是中建院吧
867	垃圾公司！迟早跑路！	中设？
868	z	
869	21年在青岛做市政道路设计，几人小院领导比较赏识，加班常态加上年终到手10。22年离开青岛，玩了三四个月，来到北京。交安小专业比较轻松，公司活不多955状态。	
870	只要我摆得够狠，人设够稳，没人能逼我996。同事领导人都还不错吧，但是钱太少，也没成就感，这两年已经快废了，呆着就是温水煮青蛙，很没有意思。	
871	国企大院里的普通部门，对外跪式服务，对内自视清高，对上乐意给大师擦屁股上贡，对下洗脑压榨且抠门。又累又没钱，某领导深谙pua之王道，经常装傻装呆，内里算计，培养眼线心腹，亲自下场给员工穿小鞋、说话阴阳怪气是常事，请假被卡、调休不给，底层员工长期加班身体普遍大病小病不断。此领导能力极差，带项目一带一个崩，只能靠卷来弥补。22年回款无比的差，刨去上贡的以及雷打不动的领导们的业绩奖金，以及可能有的骨干们的奖金以外，底层狗加班赔本无归。砍掉年终后还不忘画饼，激励大家继续辛苦辛苦扛一扛，堪称凑不要脸典范。大家好自为之吧。	
872	想说同上 是我司了	莫非是车公庄西那个？
873		工作年限 20年 哦买噶
874	哎。。。还能有啥新鲜的	
875	公司没项目，闲中之闲，奖金不发烂中之烂，年后跑路	这个工资还是先别跑了，前后看看已经很好了，23年还不知道啥情况，谨慎啊
876	一注+高工……领导脸都不要了	
877	犹豫	
878	很忙，现在的项目负责人不错，但整个部门业绩堪忧，加班严重，年后要撤啦	
879	不加班	求一求
880		
881	早10晚8	S姐是你么
882	大不如前，年后可能更差，正在思考出路	
883	国改私的甲级设计院，北京本地的民建活基本接不到，绩效赚不回预支。目前加固改造活比较多，离职情况严重导致人手严重不足，经验不足五年的明确没有涨薪空间。已离职寻求新出路，计划离开北京	
884	带着北京户口去，第一年工资3000，干了8年最多一次一年到手15w，今年效益不好，饼都不画了，唯一好处是不咋加班	
885	设计这种工作投入精力与收入回报严重失衡，找机会转型（不是转行）	关键词：参数化
886	央企设计院，主要做医疗和实验室类的活，加班情况还好，月均一半时间早9晚7，另一半时间10点前可以撤，周末基本能保证。1年入职8k，第2年1w，第2.5年到1.2w，月发倒是可以保证，今年年终奖口头承诺回头给，综合各位同仁看来还凑合了，应该也没有啥更好的公司了。但是对这个行业太失望了，马上30岁了，想辞职再去国外读个二硕润了或者再回来换个行业啥的	我们一个单位哈哈哈哈哈
887	加班强度一般，基本上半年时间每天在公司12个小时吧，半年不加班。项目赶的时候周末来。正在准备一注考试，算是完成执念吧，再就是觉着多少能提升点收入。去年准备了半年大设计，每周一套图，最终还是停考了。	铁路相关吗……
888	加班情况一般，管理一般，建筑施工图组的任何人，基本上就是又要画图又要当负责人，有时候方案的事情，也是施工图组人员指导并负责跟业主对接，效益不好，工资不按时发放。	
889	年轻设计院年轻部门，看似机会很多，最终无一落地。虽然基本不加班，但感觉部门随时要黄摊。	不过收入还可以。。。不落地的问题就在于职业成就感不太好
890	文保行业 项目在行业内十分优质 平时压力巨大&加班 不占用周末 适合刚毕业涨见识攒经验 相比工作强度钱少点 领导严格会偶尔pua但比较专业能学东西	
891	大部分时候不加班，院里整体设计水平较差，效益也差	部院还是建研院？
892		
893	自从入职后第二年是我工资的巅峰时期，进入病毒时代后就开始一路下滑。加班情况看项目，偶尔集中强烈加班，平时都是早9晚5的。但是现在行业不太行了，高质量项目少，以前都稳稳的，现在投标多中标少，钱也不好拿，绩效可怜。。	
894	地产设计，常年晚上10点后下班，除了卷还是卷，和设计院互熬谁也不好过	
895	希望病毒之后能好过一点，我他妈都担心部门倒闭，无家可归	
896	来活的时候基本能加到后半夜连着一周两周。平时七八点就跑。周末基本要加一天班。项目都是小项目，市场来说大项目不好拿    。从领导到员工都很拼，基本没有混子。虽然本司算是今年盈利较高设计院中榜上有名，但实际上员工工资随工作年限涨幅不算大，绩效论资排辈。无论工作方式，管理方式，还是大众思维普遍和二十年前行业状态没有区别。中字头院朋友评价我们院：xxx院啊早就听说了加班比我们厉害多了。	国企设计院行政职能部门吸血很厉害哦  毕竟北京国企职能部门里面都是惹不起的大佛
897	公司比较卷，甚至出台了淘汰政策；规矩多，管理流程繁琐；来这个公司之后基本没见过夕阳，新员工每月每季度都要考试，醉了。。。	
898		请问是哪家？
899	服装公司做店面的，疫情导致零售十分不乐观，小专业里的小专业。每天被pua每天威胁被裁。不开心但不敢换工作。平时基本能正常下班，但回家依然后对接工作啥的，一个月加班4-5次左右吧，偶尔要彻夜盯施工	
900		最近牙口不好，想吃点软的。。。
901	做技术，还是技术第一	兄台是正向BIM还是后BIM的
902	领导同事都不错，年终看项目，项目看运气	哪家呀
903		
904	早9晚6双休，以委托为主，也有竞赛。强度一般	是欧洲系的么
905	早9晚5双休完全不加班管饭	不加班厉害了🥲
906	强度大+钱少	
907	螺丝钉一颗，入职三年强度和工资逐年下降未来堪忧，没钱也没设计追求	部院还是建研院啊？
908	刚刚调的，调前13，非纯设计院	
909	忙的时候没少加班，还有通宵熬夜的，大概占全年三分之二，闲的时候早10晚6，2022年降薪20%	哪家啊
910		
911	今年转行政职能，终于可以不画图了，朝9晚5	
912	995吧 我算了算，强度还是很大，如果协调沟通啥的都算上就是996，无闲，目前想转行，太卷了	年到手32w，这个行业很高了
913		好惨
914		
915	加班多，看个人效率，可能新人还没学会怎么避免加班，据说第二年会降工资	
916	长期海外艰苦国家	
917	跨行业景观部门，不太加班，经常出差，项目多在艰苦地区，以前很爽最近两年也卷起来了	
918	把单位名称写出来了，给同行们提供客观参考	
919	基本五天扎扎实实9-6，摸鱼没戏。六日偶尔开会，不干活	可以展开说说吗？羡慕。不知道能不能朝这个方向奋斗
920	2022一年，工作日9点以后下班65天（其中加到凌晨的12天）。周末/节假日加班13天。调休8天。出差9天。	可以展开说说吗？羡慕。不知道能不能朝这个方向奋斗
921	忙的时候是真忙，闲的时候是真闲	
922	交图忙一阵，人际关系简单	
923		
924	甲方公司，闲，没有新项目，干点不靠谱小活，坐等新机会	
925	工作轻松，按时上下班，经常被其他忙的部门嫉妒。。。。	
926	"地方民营设计院，靠大师名气苟且的公司，基本007，差不多该润了
盲猜工大设计院，张大师是不是"	该说不说  内蒙这个地方真是水浅王八多
927	通宵达旦熬死不偿命，怕猝死辞职了22上半年我就跑了所以填的其实是21的数	能展开说说在哪个城市吗，大学双非能进吗
928	公司提供免费住宿，小公司，人少	
929		相比之下，我们是生产队的驴
930		
931	没啥活，很闲，但是面临倒闭，27了未来很迷茫，告诉我下之后应该干啥	
932	创业，建筑设计+新媒体（夫妻店，没有员工）	当老板的给自己发这么多，怪不得员工没钱
933	华东院，今年大规模降薪	华东院能有这么多？哪个部门啊
934	狗逼中科院建筑院	国企是为了编制为了退休金，熬吧
935		
936		还不错哦，哪个单位
937	所在部门人均产值在整个院内垫底，去年领导层开始了轰轰烈烈的人员优化运动，搞得有点人心惶惶。月发工资一降再降，绩效一砍再砍，年底发了个和前一年几乎一样的数字收场，最后看下来总收入被轻砍。但这个收入在上海只够勉强租房度日，过的紧紧巴巴，但只能庆幸比起被优化掉的同事已然是走运的多。不知何时是咸鱼翻身之日	优化会是常态.....
938		
939	国企	海龟硕士亦有差距
940	想知道是哪家	
941	住宅设计院，已接近解散，从500裁到不到100人（有人把我的编辑错了，不要误导别人）	我靠420W真假
942		
943	国企	借楼骂下面这条合伙狗：猪狗东西，这行业内部就是被你这种狗娘养的坑害的，贱狗春节死全家！
944	公司合伙人	"不是，上海的老板都这么黑吗，上边还有个170w的。可怕。
（反正就跟下面人说没钱，愿意干就干，不敢就滚，建筑师就是好欺负。）"
945	上海大私企 2个月没啥活了	是不是兄弟学校好。加班多吗，一般到几点啊 回：T1.5美硕 忙的时候能连续加班近一个月（每天1.2点的那种）闲的时候是真的闲 
946	上海某三线国企设计院	某东吗
947	全球冻薪很久了每年只给涨一次通胀，上个月还开了两个人，感觉形势不是很好，已经提完辞职了，年后打算自己做啦	有微信吗 私聊一下？
948	975	上海怎么活下来的介绍一下经验
949	民营，今年疯狂降薪裁员，目前月发60%，累计裁员至少一半人	
950	上海某一线住宅私企	TH？
951	实习阶段 想换公司 有推荐的吗	转行，快跑
952		税前3w
953	跟楼上一样 国康路黑楼 	请问您在海外读的plan还是design呢
954	地产，去年初开始三四轮裁员，五轮降薪（暂时公积金还没降），年后还要降薪加裁员一半，35+，感觉干不到退休了，考虑转行中	
955		
956	上半年工作强度适中，下半年有三分之二的时间都在划水	
957	船舶集团下属设计院，准备润	中船？
958	国企	
959	想转行了。。。	太惨了，不会是奉贤规划院吧
960	某市政，从公积金上可分析出来去年还是不错的。	
961		没写？
962	大型勘察集团下的建筑部，人少，不忙，月薪没拖欠打折过。	哪个公司
963		
964	J	哪个公司
965	国企 加班少	挺好的
966		好惨
967	对行业迷茫，对自己能力也迷茫，似乎应该大力转行但是缺乏行动力（扶额）	同缺乏行动力，也不知道转什么好
968	上海大私企吧，今年项目量很少，基本不加班。估计明年裁员就到我了	
969	加班巨多，公建和地产都做	
970	后半年没活干 965	
971		
972	两家公司：第一家SEU毕业的SJTU副教授校外小作坊消费信誉乱画饼杀熟，损失海外稳定工作，拖着不签合同不交社保，6个月的社保和职业经验认定，同事的应届身份差点被坑没，老板转嫁了所有可以规避的雇主应尽责任和应担风险，从劳动法规定内容到提供生产资料，仲裁维权成本很高，会误伤借壳给他的SEU校友；第二家公司工作强度高到基本工作外就只剩下恢复体力的时间；两家都是封建君主制的组织方式，最大的损失是身心健康	这种公司为啥要保密呢
973	今年基本到点下班，做住宅。去年年薪18加班多。估计年后要被裁	哪家公司？
974	地产	
975	房租4w，o.0，完蛋了活不起了	哪里的房子这么贵？
976	中字头央企 还能混	公积金三千，好牛
977	私企，一直在裁员，没有项目	这个公积金看得出来就是RQ
978	上海某国企，已躺平摆烂，比上面那位造反摆烂的还少。想砍个领导祭天	哈哈哈
979	批着国企外壳的私企，没见过这么忙的设计院累死了	
980	毕业至今拿到年终奖总数不到8000哈哈哈	大家找工作注意先看营业执照，分公司要有分公司单独执照，不然仲裁都仲裁不了。特别是在郑州遇到一个姓马的招你！
981	地产	加班多吗？
982		
983	披着国企的私企	
984	私企小院，非常累，加班很多，基本没福利，没调休	领导很卷，一天可以搞定的要安排加班3天
985	私企越干越少，三年不涨工资，福利逐渐没有，很没有希望	问下加班情况怎么样啊
986	私企	大佬大佬，工作9+的果然都不一样
987	私企  	
988		牛逼
989	私企	对比起来收入算很多的诶
990	房地产私企	对比起来很多诶 目前看到比较高的了
991	房地产央企	
992	私企越干越少，不涨工资，福利没有，很没有希望	这个收入在上海活着就是成功
993	垃圾国企  准备跑路	10年才这点？？？？ 私企有这多？
994	没什么不好说的。天华！没有实习生应届生，工作五年做基础工作，天天P图做文本，忙得要死，项目贼多，全是白嫖，年底没钱，领导买房	
995	私企，做豪宅机电设计施工采购方向，加班不多，因为配合精装比较繁琐。收入还算满意。公司可以配合GK，比较人性化。目前有多个证外挂。这部分收入就不提了。	需不需要电气的小弟打打杂
996	国企 在四平路	
997	国企，在四平路	
998	国企 在四平路，有宿舍住，数字分院	老哥好，我是楼上
999	以前全靠奖金 这两年基本收入基本对折	月发好高
1000		
1001	私企挂靠设计院，注册+高工（注册补贴4000一个月另发）	
1002	煞笔国企，高温补贴还要从年底工资里扣，淦	
1003	摆烂，上半年还挺忙，下半年纯躺等死。没奔头了，这行的现状磨完所有兴趣了，曾经的理想主义在狂热的低质量高内耗行业现状中消融殆尽，风口过后没长翅膀的猪你不死谁死，想转行找亲朋闯外贸了	
1004	不忙的时候基本早九晚五，忙的时候就干完再说	
1005	公司寻求发展BIM，拉我进去教教课什么的，钱是少了点，氛围还可以，不算忙，还会找我做渲染做动画什么的，顺便能学一下各种软件。。。	
1006	某新加坡上海分公司，这组领导贼多，职级都贼高，技术水平还都挺差，绝了，全部都是投标项目，落地的全换黄，投标还没一个能中，绝了，加班还贼多，领导还成天pua你效率低，真担心我们这个大组哪天会垮，有机会就润	sjtu的老师。。。大概知道是哪个了，肯定忘死里压榨
1007	某头部国企大院，去年两院融合赶上疫情收入骤降，虽然做医疗但是做了一堆方舱都不给钱，项目也没中标几个，院里开始究极内卷ing，基本是快累死的状态，工作性价比很低，好在小领导很好团队氛围很nice，缺点是小领导不管钱，收入还是受制于部门一把手，人心思动ing	内卷是真的，每天怀疑人生，不知道大家怎么支撑下去，年前已跑路
1008		
1009	某国企综甲院，边缘专业，被其他市政专业血脉压制，高要求和低收入让人不爽	
1010	工作强度不错，团队氛围好，但今年项目明显减少行业寒冬	哪里哪里
1011	私企，今年甚至更忙，大家日子都很难过	研究生3.5年工作经验，景观无爱
1012	外企，不加班，今年也开始裁员	对比下来还是外企香
1013	私企，朝十晚六，中午休息俩小时，每天闲得发慌	哇闲了还有年终就很羡慕
1014	工资降薪严重，工作一般，划水	这个跟我差不多，但是我们公司加班每天到十一点多，周末自动加班一天
1015		大哥狠人啊，硕士年限没上10W都待着
1016	失业中	
1017	快倒闭了，停薪留职，违法降低社保等	
1018	媳妇的老奴，职业黑猪	
1019	浦东国企，制度乱谈的年薪打三折	
1020	工作强度不大，几乎不出差	哪个公司,+1想跳槽
1021	今年挺难的，年终有几笔提成拿不到，甲方没交二期款。	
1022		
1023	天天加班，全年无休，工地血汗钱	
1024	做六休一 .天天加班 十四五个小时 	室内感觉很苦逼啊
1025	希望之后不被发配去工地.加班一阵一阵的.	
1026	上海上半年三个月没绩效，只有半个基本工资，亏惨了。自己做基坑培训课程补贴了10w，还凑活，明年想做大一点。B站：豆芽王富贵	老哥有想法啊，赞一个
1027	什么单位啊大佬	
1028	天天加班到十点以后，强度很大	1.五年天天这样身体怎么受得了哦==2.一定是很好的本科
1029	21年基本每天都在上班，22年轻松一点，甲方暴雷，周末基本没怎么加班。这行永无出头之日了，寻找合伙人一起去开店。	有路子吗，准备搞点啥，这不转行等死吗
1030	不加班 上午11点上班  下午5点下班  没有强度 一直玩电脑	不行，你这我得问问是哪一家，我也进去养老去
1031	加班超多，基本上没有按时下班	
1032	一般，平时不太忙感觉，年底事情很多	
1033	福利较好，出差多	可以可以
1034	基本没有正常下班，周末自动加班一天。	
1035	准备跑路中	听起来挺好的哎，为什么跑路啊
1036	0.3个月	7%
1037	纯住宅方案，去年没有年终，今年月发打折，项目不仅设计费打折而且回款极差，甚至有个项目做完半年了才把合同签了。摆烂中，前一天不加班也会中午才来...	
1038	准备跑路中	
1039	今年年薪算的是1-12月，阴历年回来除疫情仨月工资都折扣，奖金从未见过，按疫情后的薪水今年大约11.5，不知道咋整，夏秋两季挺闲，疫情后几乎没加过班	
1040	觉得成长速度变慢了	
1041	5月份开始降薪15%	
1042	来了三年一年比一年少 就离谱。国企官僚作风比较严重 在考虑转行；22年3月起降薪20%	
1043	朝九晚五工作不忙顺便考证	什么神仙单位啊？
1044	996普陀区的垃圾设计院，老板能力差没有回款，分到最后底下人没年终	
1045	上半年私企天天加班，下半年国企偶尔加班，钱也肉眼可见对半	
1046	领导饼也画不动了 只会压着加班 10点下班是常态 周末加班也是常态	哪家国企
1047	公司从去年11月开始降薪，23年1月宣布现金流中断不再发薪，面临破产倒闭	
1048	一年三次降薪 四次裁员 23年贷款发工资 没有年终 濒临倒闭红红火火恍恍惚惚	
1049	新来的员工比我高2k-3k，11月调薪，就设计的不涨，目前在等考研复试，准备跑路。公司环境不好，领导没本事，针对我。（深圳某装饰公司——大家请避雷，上海是分公司）了解到社招员工一开始说的调薪，转正了还是一样没有涨。每个月的驻场设计费，还抵不过新来的涨的高，领导还会恶意诽谤人，自己什么都不了解，在公司新员工面前说我不工作，一个国企领导能干成这样？公司做成这样，要不是国企，你能撑到现在？很多老员工都在等年终呢，离职	
1050	公司一直走下坡路	
1051	口头承诺明年税前1W，再考虑要不要走	"工作比你长、年终没你多。   想转行ing。
今年的5w已经发了吗？"
1052	小工作室，今年加班少	
1053	要不没活要不急活，三边工程。时不时还要驻场。	
1054	今年加班少	去年年终奖发了16W？好多
1055	早10晚7，偶尔加班到10，周末几乎不加	
1056	朝九晚五，加班少	
1057	加班还行，领导还行，但就是心累，不想干了	
1058	"入职3年一分钱没涨过，且用学历压工资，说我们院专科最高8k，跟所长谈的税后8k，但是每个月到手是税前8k，五险一金的涨幅都自己承担，到手工资越来越少
我个人非必要不加班，n+1人很好，帮忙担事。
公司很傻逼，续约需要述职，非常喜欢pua，例如：“我看了下简历，你这个学历我不知道是怎么混进我们院里，我们一般招研究生，本科都只要北林南林的”；“你要去考个本科，怎么也要考个同济的呀，让你提升学历是为了你好，不是为了公司”。
要求公司所有人要考证，包括行政。就算述职通过了，续约也要另签一份协议，内容就是x年内，要考出来xxx证书。
要求员工给公司拉项目，不管多大的项目分成就给2-4w。
如果有人知道是哪个公司，快跑！快跑！！！！
哦，我们所还会拖薪到年底才发，一个月就一点点最低工资，要不是我有兼职，早就活不下去了！"	"呃，这种附加条件多的真的好心塞。
工资多到难以割舍就算了，看上去也没有嘛"
1059	前几年忙到飞，最近一个月稍好	
1060	入职两年半，公司说项目款收不到，已经拿了三个月3000块的工资，一分不剩回家过年	
1061	公司名义上是挂在国企，实际就是一个小私营，公司老板很牛，上海几个大的国企都有关系，也都有挂靠的感觉。很卷，老板很抠。	
1062	方案设计为主，跟项目全程	
1063	今年都没钱，我们被裁了，拿了月发的N+1，和奖金差不多，明年先躺着	
1064	精装施工单位总工下面打杂的，经常ABC，什么都做什么都学。BIM,重点项目策划，动画，甚至是领导私活。没有晋升机会，年龄大了卷不动了。	
1065		
1066	第三次行业周期，上有老下有小，苟住。	
1067	年终奖一个大苹果，细品	不是Iphone吗
1068	TOD公建所，21年底到22年夏天只有投标，没有委托项目，惨的一p。做投标稳定加班，基本都是9点以后才能走，投标期间通宵也常有，事儿巨多	
1069		
1070		
1071	无稳定项目，全在做投标，投标天天1点左右无周末， 没投标时可以6点下班	精美礼品一份hhh
1072	加班多，不服从就被辞退，很多员工在仲裁单位	
1073		
1074	小负责人，总体比较自由，时间可以自己安排	哪家啊、还缺人吗？
1075	华建集团，全年几乎无双休，随时待命加班，几乎每天都加班很晚，入职到现在没涨过薪水，年终奖越来越少	上海5k咋够啊
1076		
1077		
1078	随便做做，今年扑街	哪家私企
1079	没加过班，包住，但是据说明年要大干特干了，害怕	 
1080	加班适中，事多心累责任大，跑路了	
1081	包吃住  偶尔加班ppt  双休	
1082	活做的累死，给钱么抠抠搜搜	上海怎么活。上海人？公积金还挺高，基数按多少交的呢
1083	有活加班，没活朝九晚五	
1084		
1085		
1086		
1087		
1088		
1089		
1090		谁说年轻人多历练多画画多想想多做几版的你必死
1091		
1092		
1093	今年疯狂降月发，还没年终，心灰意冷了	
1094	不加班	
1095	加班很多	
1096	呵呵 今天加班到吐，算了下提成应该能有十几个W，年底也没个通知，就说13薪和提成没了（微笑脸）	
